,Discipline,original_afiliacion,Gender,original_completo,Affiliation,Complete,Complete - Gender
757,Health Sci.,INSTITUTO NACIONAL DE CARDIOLOGIA DR. IGNACIO CHAVEZ,Female,True,Category 2,Complete,Complete - Female
758,Economic Sci.,BANCO DE MEXICO,Male,False,,Incomplete,Incomplete - Male
759,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,True,Category 3,Complete,Complete - Male
760,Engineering,SIN INSTITUCIÓN,Female,True,Category 4,Complete,Complete - Female
761,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Male,True,Category 2,Complete,Complete - Male
762,Health Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Female,True,Category 1,Complete,Complete - Female
763,Health Sci.,INSTITUTO POLITECNICO NACIONAL,Female,False,,Incomplete,Incomplete - Female
764,Economic Sci.,"EL COLEGIO DE MEXICO, A.C.",Male,False,,Incomplete,Incomplete - Male
765,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
766,Health Sci.,UNIVERSIDAD AUTONOMA DE GUERRERO,Female,True,Category 3,Complete,Complete - Female
767,Economic Sci.,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,Male,True,Category 3,Complete,Complete - Male
768,Economic Sci.,UNIVERSIDAD PEDAGOGICA NACIONAL,Male,False,,Incomplete,Incomplete - Male
769,Health Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Female,False,,Incomplete,Incomplete - Female
770,Engineering,UNIVERSIDAD POLITECNICA METROPOLITANA DE HIDALGO,Male,True,Category 3,Complete,Complete - Male
771,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Male,False,,Incomplete,Incomplete - Male
772,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,,Incomplete,Incomplete - Male
773,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
774,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
775,Economic Sci.,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,Female,True,Category 3,Complete,Complete - Female
776,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
777,Economic Sci.,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Male,False,,Incomplete,Incomplete - Male
778,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
779,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
780,Economic Sci.,UNIVERSIDAD AUTONOMA DE TLAXCALA,Male,False,,Incomplete,Incomplete - Male
781,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 1,Complete,Complete - Female
782,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Female,True,Category 2,Complete,Complete - Female
783,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Male,True,Category 2,Complete,Complete - Male
784,Economic Sci.,UNIVERSIDAD AUTONOMA CHAPINGO,Female,False,,Incomplete,Incomplete - Female
785,Health Sci.,UNIVERSIDAD DE GUANAJUATO,Female,False,,Incomplete,Incomplete - Female
786,Health Sci.,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Female,True,Category 3,Complete,Complete - Female
787,Economic Sci.,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,Male,True,Category 3,Complete,Complete - Male
788,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,False,,Incomplete,Incomplete - Female
789,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Male,False,,Incomplete,Incomplete - Male
790,Economic Sci.,UNIVERSIDAD DE DEUSTO,Female,False,,Incomplete,Incomplete - Female
791,Economic Sci.,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
792,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,,Incomplete,Incomplete - Female
793,Engineering,"UNIVERSIDAD INTERNACIONAL IBEROAMERICANA, A.C.",Male,True,Category 2,Complete,Complete - Male
794,Health Sci.,UNIVERSIDAD DE GUANAJUATO,Male,False,,Incomplete,Incomplete - Male
795,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
796,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,False,,Incomplete,Incomplete - Female
797,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 2,Complete,Complete - Female
798,Engineering,UNIVERSIDAD PANAMERICANA,Female,False,,Incomplete,Incomplete - Female
799,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
800,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Male,False,,Incomplete,Incomplete - Male
801,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
802,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,False,,Incomplete,Incomplete - Female
803,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,True,Category 2,Complete,Complete - Male
804,Engineering,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,Male,False,,Incomplete,Incomplete - Male
805,Health Sci.,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,Female,False,,Incomplete,Incomplete - Female
806,Economic Sci.,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,Male,True,Category 3,Complete,Complete - Male
807,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Male,True,Category 2,Complete,Complete - Male
808,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
809,Engineering,UNIVERSIDAD AUTONOMA DE ZACATECAS,Female,False,,Incomplete,Incomplete - Female
810,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
811,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
812,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,,Incomplete,Incomplete - Female
813,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,True,Category 2,Complete,Complete - Female
814,Economic Sci.,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,Male,False,,Incomplete,Incomplete - Male
815,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Female,True,Category 3,Complete,Complete - Female
816,Economic Sci.,INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUIS MORA,Female,False,,Incomplete,Incomplete - Female
817,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
818,Economic Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,True,Category 3,Complete,Complete - Male
819,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
820,Economic Sci.,UNIVERSIDAD AUTONOMA DE YUCATAN,Male,False,,Incomplete,Incomplete - Male
821,Health Sci.,INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ,Male,False,,Incomplete,Incomplete - Male
822,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE,Male,True,Category 2,Complete,Complete - Male
823,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Female,True,Category 3,Complete,Complete - Female
824,Economic Sci.,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,Male,False,,Incomplete,Incomplete - Male
825,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
826,Economic Sci.,UNIVERSIDAD AUTONOMA DE COAHUILA,Female,False,,Incomplete,Incomplete - Female
827,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,Category 2,Complete,Complete - Female
828,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Female,True,Category 3,Complete,Complete - Female
829,Health Sci.,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,Male,True,,Incomplete,Incomplete - Male
830,Health Sci.,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 1,Complete,Complete - Female
831,Economic Sci.,UNIVERSIDAD DE MONTERREY,Female,False,,Incomplete,Incomplete - Female
832,Economic Sci.,UNIVERSIDAD DE GUANAJUATO,Male,True,Category 3,Complete,Complete - Male
833,Engineering,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
834,Health Sci.,UNIVERSIDAD AUTONOMA DE SINALOA,Male,True,Category 3,Complete,Complete - Male
835,Economic Sci.,INSTITUTO TECNOLOGICO DE SONORA,Male,True,Category 3,Complete,Complete - Male
836,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
837,Economic Sci.,UNIVERSIDAD AUTONOMA DE ZACATECAS,Male,False,,Incomplete,Incomplete - Male
838,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Female,True,Category 3,Complete,Complete - Female
839,Economic Sci.,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,Male,False,,Incomplete,Incomplete - Male
840,Engineering,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Male,True,Category 3,Complete,Complete - Male
841,Health Sci.,GOBIERNO DEL ESTADO DE SAN LUIS POTOSI,Female,True,Category 2,Complete,Complete - Female
842,Engineering,UNIVERSIDAD IBEROAMERICANA,Male,False,,Incomplete,Incomplete - Male
843,Engineering,UNIVERSIDAD DE COLIMA,Male,False,,Incomplete,Incomplete - Male
844,Health Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
845,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Male,False,,Incomplete,Incomplete - Male
846,Economic Sci.,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,Male,True,Category 3,Complete,Complete - Male
847,Health Sci.,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Male,True,Category 2,Complete,Complete - Male
848,Economic Sci.,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Male,True,Category 3,Complete,Complete - Male
849,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Female,True,Category 3,Complete,Complete - Female
850,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
851,Engineering,UNIVERSIDAD DEL ISTMO,Male,True,Category 3,Complete,Complete - Male
852,Economic Sci.,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,Female,False,,Incomplete,Incomplete - Female
853,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Male,True,Category 1,Complete,Complete - Male
854,Engineering,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
855,Health Sci.,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,Male,True,Category 2,Complete,Complete - Male
856,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
857,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
858,Economic Sci.,UNIVERSIDAD AUTONOMA DE QUERETARO,Female,True,Category 3,Complete,Complete - Female
859,Economic Sci.,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Male,True,Category 3,Complete,Complete - Male
860,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
861,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
862,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Male,False,,Incomplete,Incomplete - Male
863,Health Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Male,True,Category 3,Complete,Complete - Male
864,Health Sci.,SIN INSTITUCIÓN,Female,True,,Incomplete,Incomplete - Female
865,Economic Sci.,EL COLEGIO DE SONORA,Female,False,,Incomplete,Incomplete - Female
866,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Female,False,,Incomplete,Incomplete - Female
867,Engineering,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,Male,False,,Incomplete,Incomplete - Male
868,Health Sci.,SIN INSTITUCIÓN,Female,True,,Incomplete,Incomplete - Female
869,Health Sci.,UNIVERSIDAD AUTONOMA DE YUCATAN,Male,False,,Incomplete,Incomplete - Male
870,Economic Sci.,UNIVERSIDAD DE GUANAJUATO,Female,False,,Incomplete,Incomplete - Female
871,Engineering,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Male,False,,Incomplete,Incomplete - Male
872,Economic Sci.,UNIVERSIDAD INTERSERRANA DEL ESTADO DE PUEBLA AHUACATLAN,Female,False,,Incomplete,Incomplete - Female
873,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
874,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Female,False,,Incomplete,Incomplete - Female
875,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
876,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,,Incomplete,Incomplete - Female
877,Economic Sci.,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",Male,True,Category 2,Complete,Complete - Male
878,Engineering,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
879,Engineering,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,Male,False,,Incomplete,Incomplete - Male
880,Economic Sci.,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
881,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Female,False,,Incomplete,Incomplete - Female
882,Health Sci.,INSTITUTO NACIONAL DE PEDIATRIA,Female,True,Category 2,Complete,Complete - Female
883,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Male,False,,Incomplete,Incomplete - Male
884,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,False,,Incomplete,Incomplete - Female
885,Engineering,UNIVERSIDAD AUTONOMA DE YUCATAN,Male,False,,Incomplete,Incomplete - Male
886,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 1,Complete,Complete - Female
887,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
888,Economic Sci.,UNIVERSIDAD AUTONOMA CHAPINGO,Male,False,,Incomplete,Incomplete - Male
889,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Female,True,Category 3,Complete,Complete - Female
890,Engineering,UNIVERSIDAD AUTONOMA DE COAHUILA,Male,True,Category 3,Complete,Complete - Male
891,Economic Sci.,UNIVERSIDAD IBEROAMERICANA,Female,True,Category 2,Complete,Complete - Female
892,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 1,Complete,Complete - Female
893,Health Sci.,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,Female,False,,Incomplete,Incomplete - Female
894,Engineering,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Male,False,,Incomplete,Incomplete - Male
895,Economic Sci.,UNIVERSIDAD ANAHUAC DEL NORTE,Male,False,,Incomplete,Incomplete - Male
896,Engineering,UNIVERSIDAD DE SONORA,Female,True,Category 3,Complete,Complete - Female
897,Economic Sci.,INSTITUTO TECNOLOGICO DE SONORA,Male,False,,Incomplete,Incomplete - Male
898,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
899,Engineering,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,Male,False,,Incomplete,Incomplete - Male
900,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Male,True,Category 2,Complete,Complete - Male
901,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
902,Economic Sci.,UNIVERSIDAD DE SONORA,Female,False,,Incomplete,Incomplete - Female
903,Engineering,UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,Male,True,Category 3,Complete,Complete - Male
904,Engineering,"UNIVERSIDAD AUTONOMA DE GUADALAJARA, A.C.",Male,True,Category 2,Complete,Complete - Male
905,Economic Sci.,UNIVERSIDAD AUTONOMA DE QUERETARO,Female,True,Category 3,Complete,Complete - Female
906,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
907,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,Category 2,Complete,Complete - Female
908,Engineering,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,Male,False,,Incomplete,Incomplete - Male
909,Economic Sci.,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
910,Economic Sci.,FIDEICOMISOS INSTITUIDOS EN RELACION CON LA AGRICULTURA,Male,True,Category 2,Complete,Complete - Male
911,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,False,,Incomplete,Incomplete - Female
912,Economic Sci.,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,Male,True,Category 3,Complete,Complete - Male
913,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
914,Health Sci.,UNIVERSIDAD ANAHUAC DEL NORTE,Female,False,,Incomplete,Incomplete - Female
915,Engineering,UNIVERSIDAD POLITECNICA DE TULANCINGO,Male,False,,Incomplete,Incomplete - Male
916,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,,Incomplete,Incomplete - Female
917,Health Sci.,INSTITUTO NACIONAL DE CANCEROLOGIA,Male,True,Category 2,Complete,Complete - Male
918,Economic Sci.,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,Female,True,Category 3,Complete,Complete - Female
919,Economic Sci.,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",Male,True,Category 2,Complete,Complete - Male
920,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
921,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Female,True,Category 2,Complete,Complete - Female
922,Health Sci.,HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ,Female,False,,Incomplete,Incomplete - Female
923,Health Sci.,UNIVERSIDAD AUTONOMA DE YUCATAN,Male,False,,Incomplete,Incomplete - Male
924,Economic Sci.,UNIVERSIDAD DE SONORA,Male,False,,Incomplete,Incomplete - Male
925,Health Sci.,GOBIERNO DEL ESTADO DE COLIMA,Male,True,Category 2,Complete,Complete - Male
926,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Female,False,,Incomplete,Incomplete - Female
927,Economic Sci.,UNIVERSIDAD AUTONOMA DE COAHUILA,Male,False,,Incomplete,Incomplete - Male
928,Health Sci.,UNIVERSIDAD VERACRUZANA,Male,True,Category 3,Complete,Complete - Male
929,Engineering,UNIVERSIDAD DE GUANAJUATO,Male,False,,Incomplete,Incomplete - Male
930,Economic Sci.,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",Female,False,,Incomplete,Incomplete - Female
931,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
932,Engineering,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,False,,Incomplete,Incomplete - Male
933,Economic Sci.,UNIVERSIDAD PEDAGOGICA NACIONAL,Female,False,,Incomplete,Incomplete - Female
934,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Male,False,,Incomplete,Incomplete - Male
935,Engineering,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,False,,Incomplete,Incomplete - Male
936,Engineering,INSTITUTO POLITECNICO NACIONAL,Male,True,Category 1,Complete,Complete - Male
937,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
938,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Female,False,,Incomplete,Incomplete - Female
939,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Female,True,Category 3,Complete,Complete - Female
940,Health Sci.,EL COLEGIO DE LA FRONTERA SUR,Male,True,Category 2,Complete,Complete - Male
941,Engineering,UNIVERSIDAD AUTONOMA DE ZACATECAS,Male,True,Category 3,Complete,Complete - Male
942,Economic Sci.,"EL COLEGIO DE MEXICO, A.C.",Male,False,,Incomplete,Incomplete - Male
943,Health Sci.,UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,Female,True,Category 3,Complete,Complete - Female
944,Economic Sci.,INSTITUTO TECNOLOGICO DE SONORA,Male,True,Category 3,Complete,Complete - Male
945,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Female,True,Category 3,Complete,Complete - Female
946,Economic Sci.,UNIVERSIDAD DE COLIMA,Male,True,Category 3,Complete,Complete - Male
947,Health Sci.,JOHNS HOPKINS UNIVERSITY,Male,True,Category 2,Complete,Complete - Male
948,Health Sci.,INSTITUTO NACIONAL DE PEDIATRIA,Female,True,Category 2,Complete,Complete - Female
949,Health Sci.,UNIVERSIDAD VERACRUZANA,Female,False,,Incomplete,Incomplete - Female
950,Engineering,UNIVERSIDAD POLITECNICA DE PUEBLA,Male,False,,Incomplete,Incomplete - Male
951,Health Sci.,INSTITUTO POLITECNICO NACIONAL,Male,False,,Incomplete,Incomplete - Male
952,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,False,,Incomplete,Incomplete - Female
953,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
954,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
955,Economic Sci.,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,Male,False,,Incomplete,Incomplete - Male
956,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
957,Engineering,INSTITUTO POLITECNICO NACIONAL,Male,True,Category 2,Complete,Complete - Male
958,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,False,,Incomplete,Incomplete - Female
959,Health Sci.,HOSPITAL INFANTIL DE MEXICO DR. FEDERICO GOMEZ,Female,True,Category 2,Complete,Complete - Female
960,Economic Sci.,UNIVERSIDAD AUTONOMA DE QUERETARO,Male,False,,Incomplete,Incomplete - Male
961,Engineering,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Male,False,,Incomplete,Incomplete - Male
962,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,True,Category 2,Complete,Complete - Female
963,Economic Sci.,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,Male,True,Category 3,Complete,Complete - Male
964,Economic Sci.,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA,Male,True,Category 2,Complete,Complete - Male
965,Economic Sci.,CENTRO DE INVESTIGACION E INNOVACION EN TECNOLOGIAS DE LA INFORMACION,Female,True,Category 2,Complete,Complete - Female
966,Economic Sci.,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIA",Female,True,Category 2,Complete,Complete - Female
967,Health Sci.,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Female,True,,Incomplete,Incomplete - Female
968,Health Sci.,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",Male,True,Category 2,Complete,Complete - Male
969,Economic Sci.,"UNIVERSIDAD LA SALLE, A.C.",Male,False,,Incomplete,Incomplete - Male
970,Economic Sci.,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
971,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,True,Category 2,Complete,Complete - Female
972,Engineering,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
973,Economic Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Female,True,Category 3,Complete,Complete - Female
974,Economic Sci.,UNIVERSIDAD AUTONOMA DE ZACATECAS,Male,False,,Incomplete,Incomplete - Male
975,Engineering,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Female,True,Category 3,Complete,Complete - Female
976,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 2,Complete,Complete - Female
977,Health Sci.,UNIVERSIDAD AUTONOMA DE ZACATECAS,Female,True,Category 3,Complete,Complete - Female
978,Engineering,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,False,,Incomplete,Incomplete - Male
979,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
980,Health Sci.,INSTITUTO NACIONAL DE PEDIATRIA,Female,True,Category 2,Complete,Complete - Female
981,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,False,,Incomplete,Incomplete - Female
982,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,True,Category 2,Complete,Complete - Male
983,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Female,False,,Incomplete,Incomplete - Female
984,Economic Sci.,"EL COLEGIO DE MEXICO, A.C.",Male,False,,Incomplete,Incomplete - Male
985,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Male,False,,Incomplete,Incomplete - Male
986,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
987,Economic Sci.,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,Male,False,,Incomplete,Incomplete - Male
988,Health Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Male,False,,Incomplete,Incomplete - Male
989,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
990,Engineering,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,True,Category 2,Complete,Complete - Male
991,Engineering,SIN INSTITUCIÓN,Female,True,Category 4,Complete,Complete - Female
992,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,True,Category 3,Complete,Complete - Male
993,Health Sci.,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Female,True,Category 2,Complete,Complete - Female
994,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Female,True,Category 1,Complete,Complete - Female
995,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
996,Health Sci.,INSTITUTO NACIONAL DE CARDIOLOGIA DR. IGNACIO CHAVEZ,Male,True,Category 2,Complete,Complete - Male
997,Health Sci.,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Female,False,,Incomplete,Incomplete - Female
998,Economic Sci.,UNIVERSIDAD POLITECNICA DE VICTORIA,Male,False,,Incomplete,Incomplete - Male
999,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Male,False,,Incomplete,Incomplete - Male
1000,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
1001,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,False,,Incomplete,Incomplete - Male
