disciplina,afiliacion,genero,completo,categoria_afiliacion,metrica_calculada
INGENIERIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,True,,False
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SINALOA,m,True,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE GUERRERO,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ,f,False,,False
CIENCIAS ECONOMICAS,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,f,True,Categoría 2,True
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,False,,False
CIENCIAS ECONOMICAS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE NAYARIT,m,False,,False
INGENIERIA,UNIVERSIDAD ESTATAL DE SONORA,f,False,,False
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD ANAHUAC DEL NORTE,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,f,True,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE YUCATAN,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD TECNOLOGICA DE ESCUINAPA,f,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,m,True,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD PANAMERICANA CAMPUS BONATERRA,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,CLAUSTRO UNIVERSITARIO DE CHIHUAHUA,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,f,True,Categoría 4,True
CIENCIAS ECONOMICAS,"UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA, A.C.",m,True,Categoría 3,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD TECNOLOGICA METROPOLITANA,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE OCCIDENTE,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD POLITECNICA DE PACHUCA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CANCEROLOGIA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE QUERETARO,f,False,,False
INGENIERIA,SECRETARIA DE ECONOMIA,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,SECRETARIA DE SALUD,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE QUERETARO,m,False,,False
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD DEL ISTMO,m,False,,False
CIENCIAS ECONOMICAS,"UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA, A.C.",f,True,Categoría 3,True
CIENCIAS DE LA SALUD,GOBIERNO DEL ESTADO DE COAHUILA,f,True,Categoría 2,True
INGENIERIA,SIN INSTITUCIÓN,f,True,Categoría 4,True
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,True,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE COAHUILA,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,True,Categoría 3,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,f,False,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,f,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE GUERRERO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIA",f,True,Categoría 2,True
CIENCIAS ECONOMICAS,"UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA, A.C.",m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,f,True,Categoría 3,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,f,True,Categoría 3,True
INGENIERIA,"PROMOTORA TECNICA INDUSTRIAL, S.A. DE C.V.",m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL CARMEN,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD PANAMERICANA,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE GUERRERO,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,"FUNDACION MEXICANA PARA LA SALUD, A.C.",f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD VERACRUZANA,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,m,True,Categoría 2,True
INGENIERIA,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE SONORA,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,True,Categoría 1,True
CIENCIAS ECONOMICAS,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,TECNOLOGICO NACIONAL DE MEXICO,f,False,,False
INGENIERIA,INSTITUTO POLITECNICO NACIONAL,m,True,Categoría 1,True
INGENIERIA,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE COAHUILA,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,SECRETARIA DE SALUD,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,m,False,,False
CIENCIAS DE LA SALUD,"UNIVERSIDAD AUTONOMA DE GUADALAJARA, A.C.",f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE REHABILITACION,m,True,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE QUERETARO,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,f,True,Categoría 1,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD ANAHUAC DEL NORTE,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,SECRETARIA DE SALUD,f,False,,False
CIENCIAS ECONOMICAS,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE COLIMA,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
CIENCIAS DE LA SALUD,FUNDACION MAX PLANCK,f,True,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,False,,False
CIENCIAS ECONOMICAS,"EL COLEGIO DE MEXICO, A.C.",m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE QUERETARO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CANCEROLOGIA,f,False,,False
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
INGENIERIA,UNIVERSIDAD POLITECNICA DEL BICENTENARIO,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD DEL ISTMO,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD DE SONORA,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE OCCIDENTE,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS DE LA SALUD,HOSPITAL INFANTIL DE MEXICO DR. FEDERICO GOMEZ,f,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,False,,False
INGENIERIA,UNIVERSIDAD POLITECNICA DE GUANAJUATO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,m,False,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE OCCIDENTE,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD TECNOLOGICA DE TECAMAC,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,f,True,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE GERIATRIA,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE ZACATECAS,m,False,,False
INGENIERIA,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA METROPOLITANA,f,True,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE ZACATECAS,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD ANAHUAC DEL NORTE,m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD TECNOLOGICA DE SAN JUAN DEL RIO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE NAYARIT,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE NUEVO LEON,f,False,,False
INGENIERIA,SIN INSTITUCIÓN,f,False,,False
INGENIERIA,INSTITUTO POLITECNICO NACIONAL,m,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,"UNIVERSIDAD AUTONOMA DE GUADALAJARA, A.C.",f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,f,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE QUERETARO,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD PANAMERICANA,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA,m,False,,False
CIENCIAS ECONOMICAS,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD PANAMERICANA,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE NAYARIT,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,True,,False
INGENIERIA,UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,m,True,Categoría 3,True
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS DE LA SALUD,INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,f,True,Categoría 2,True
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SINALOA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ES,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,SECRETARIA DE MARINA ARMADA DE MEXICO,m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD TECNOLOGICA DEL SUROESTE DE GUANAJUATO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE ZACATECAS,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS ECONOMICAS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,m,False,,False
INGENIERIA,UNIVERSIDAD TECNOLOGICA DE ZINACANTEPEC,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD POLITECNICA DE CHIAPAS,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD AUTONOMA DE COAHUILA,m,True,Categoría 3,True
INGENIERIA,SIN INSTITUCIÓN,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE MEDICINA GENOMICA,f,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD TECNOLOGICA DEL CENTRO DE VERACRUZ,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,m,True,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,True,,False
INGENIERIA,SIN INSTITUCIÓN,f,True,Categoría 4,True
INGENIERIA,UNIVERSIDAD DE GUADALAJARA,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,f,True,Categoría 3,True
INGENIERIA,GOBIERNO DEL ESTADO DE MEXICO,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE SONORA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 1,True
CIENCIAS ECONOMICAS,UNIVERSIDAD POLITECNICA METROPOLITANA DE HIDALGO,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE COLIMA,m,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE QUERETARO,f,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,SECRETARIA DE SALUD,f,True,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,f,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA CHAPINGO,m,True,Categoría 2,True
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,INSTITUTO POLITECNICO NACIONAL,m,True,Categoría 1,True
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS ECONOMICAS,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DEL CARIBE,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CANCEROLOGIA,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA METROPOLITANA,f,True,Categoría 1,True
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUANAJUATO,f,True,,False
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE ZACATECAS,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,m,True,,False
CIENCIAS ECONOMICAS,EL COLEGIO DE LA FRONTERA SUR,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CANCEROLOGIA,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,m,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,True,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
INGENIERIA,SIN INSTITUCIÓN,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,True,Categoría 2,True
